Unnamed: 0.1,Unnamed: 0,Organisation,Rocket_Status,Price,Mission_Status,Launchpad,Launch Complex,State,Country,Year,Month,Day,Rocket Name/Model,Payloads
1409,1409,Lockheed,StatusRetired,,Success,SLC-4E,Vandenberg AFB,California,USA,1996,12,20,Titan IV(404)A,NROL-2 (KH-11 Kennen)
1410,1410,VKS RF,StatusRetired,,Success,Site 132/1,Plesetsk Cosmodrome,,Russia,1996,12,20,Cosmos-3M (11K65M),Cosmos 2336
1411,1411,ILS,StatusRetired,,Success,SLC-36B,Cape Canaveral AFS,Florida,USA,1996,12,18,Atlas IIA,Inmarsat 3-F3
1412,1412,VKS RF,StatusRetired,,Success,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,1996,12,11,Tsyklon-2,Cosmos 2335
1413,1413,NASA,StatusRetired,450.0,Success,LC-39B,Kennedy Space Center,Florida,USA,1996,12,7,Space Shuttle Columbia,STS-80
1414,1414,Boeing,StatusRetired,,Success,SLC-17B,Cape Canaveral AFS,Florida,USA,1996,12,4,Delta II 7925,Mars Pathfinder
1415,1415,ILS,StatusRetired,,Success,SLC-36A,Cape Canaveral AFS,Florida,USA,1996,11,21,Atlas IIA,Hot Bird 2
1416,1416,Arianespace,StatusRetired,,Success,ELA-2,Guiana Space Centre,French Guiana,France,1996,11,13,Ariane 44L,"Arabsat-2B, Measat-2"
1417,1417,Boeing,StatusRetired,,Success,SLC-17A,Cape Canaveral AFS,Florida,USA,1996,11,7,Delta II 7925,Mars Global Surveyor
1418,1418,Northrop,StatusActive,40.0,Failure,Stargazer,Vandenberg AFB,California,USA,1996,11,4,Pegasus XL,HETE & SAC-B
1419,1419,VKS RF,StatusRetired,,Success,Site 43/4,Plesetsk Cosmodrome,,Russia,1996,10,24,Molniya-M /Block ML,Molniya-3 n†­165
1420,1420,CASC,StatusActive,29.75,Success,Site 138 (LA-2B),Jiuquan Satellite Launch Center,,China,1996,10,20,Long March 2D,FSW-2 No.3
1421,1421,NASA,StatusRetired,450.0,Success,LC-39A,Kennedy Space Center,Florida,USA,1996,9,16,Space Shuttle Atlantis,STS-79
1422,1422,Boeing,StatusRetired,,Success,SLC-17A,Cape Canaveral AFS,Florida,USA,1996,9,12,Delta II 7925,USA-128 (GPS IIA-18)
1423,1423,Arianespace,StatusRetired,,Success,ELA-2,Guiana Space Centre,French Guiana,France,1996,9,11,Ariane 42P,Echostar-2
1424,1424,ILS,StatusRetired,,Success,SLC-36B,Cape Canaveral AFS,Florida,USA,1996,9,8,Atlas IIA,GE-1
1425,1425,VKS RF,StatusRetired,,Success,Site 132/1,Plesetsk Cosmodrome,,Russia,1996,9,5,Cosmos-3M (11K65M),Cosmos 2334 & UNAMSAT-B
1426,1426,VKS RF,StatusRetired,,Success,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,1996,9,4,Zenit-2,Cosmos 2333
1427,1427,RVSN USSR,StatusRetired,,Success,Site 43/3,Plesetsk Cosmodrome,,Russia,1996,8,29,Molniya-M /Block SO-L,"Interbol 2, Magion5 & Victor"
1428,1428,Northrop,StatusActive,40.0,Success,Stargazer,Vandenberg AFB,California,USA,1996,8,21,Pegasus XL,FAST
1429,1429,CASC,StatusRetired,,Partial Failure,LC-3,Xichang Satellite Launch Center,,China,1996,8,18,Long March 3,Chinasat-7
1430,1430,MHI,StatusRetired,,Success,LA-Y1,Tanegashima Space Center,,Japan,1996,8,17,H-II (2 SSB),Fuji 2 & Midori
1431,1431,VKS RF,StatusRetired,,Success,Site 43/3,Plesetsk Cosmodrome,,Russia,1996,8,14,Molniya-M /Block ML,Molniya-1T n†­164
1432,1432,Arianespace,StatusRetired,,Success,ELA-2,Guiana Space Centre,French Guiana,France,1996,8,8,Ariane 44L,"Italsat F2, Telecom 2D"
1433,1433,Lockheed,StatusRetired,,Success,SLC-36A,Cape Canaveral AFS,Florida,USA,1996,7,25,Atlas II,UHF F7
1434,1434,Boeing,StatusRetired,,Success,SLC-17A,Cape Canaveral AFS,Florida,USA,1996,7,16,Delta II 7925,USA-126 (GPS IIA-17)
1435,1435,Arianespace,StatusRetired,,Success,ELA-2,Guiana Space Centre,French Guiana,France,1996,7,9,Ariane 44L,"Arabsat-2A, T??rksat 1C"
1436,1436,CASC,StatusRetired,,Success,LC-3,Xichang Satellite Launch Center,,China,1996,7,3,Long March 3,Apstar 1A
1437,1437,Lockheed,StatusRetired,,Success,SLC-40,Cape Canaveral AFS,Florida,USA,1996,7,3,Titan IV(405)A,SDS
1438,1438,Northrop,StatusActive,40.0,Success,Stargazer,Vandenberg AFB,California,USA,1996,7,2,Pegasus XL,TOMS
1439,1439,NASA,StatusRetired,450.0,Success,LC-39B,Kennedy Space Center,Florida,USA,1996,6,20,Space Shuttle Columbia,STS-78
1440,1440,Arianespace,StatusRetired,,Success,ELA-2,Guiana Space Centre,French Guiana,France,1996,6,15,Ariane 44P,Intelsat 709
1441,1441,ESA,StatusRetired,,Failure,ELA-3,Guiana Space Centre,French Guiana,France,1996,6,4,Ariane 5 G,Cluster
1442,1442,Boeing,StatusRetired,,Success,SLC-17B,Cape Canaveral AFS,Florida,USA,1996,5,24,Delta II 7925,Galaxy 9
1443,1443,NASA,StatusRetired,450.0,Success,LC-39B,Kennedy Space Center,Florida,USA,1996,5,19,Space Shuttle Endeavour,STS-77
1444,1444,Northrop,StatusRetired,40.0,Success,Stargazer,Vandenberg AFB,California,USA,1996,5,17,Pegasus,MSTI-3
1445,1445,Arianespace,StatusRetired,,Success,ELA-2,Guiana Space Centre,French Guiana,France,1996,5,16,Ariane 44L,"Palapa C2, AMOS-1"
1446,1446,Lockheed,StatusRetired,,Success,SLC-4E,Vandenberg AFB,California,USA,1996,5,12,Titan IV(403)A,"SLDCOM, NOSS 3x, TiPS 2x"
1447,1447,Lockheed,StatusRetired,,Success,SLC-36B,Cape Canaveral AFS,Florida,USA,1996,4,30,Atlas I,BeppoSAX
1448,1448,Lockheed,StatusRetired,,Success,SLC-41,Cape Canaveral AFS,Florida,USA,1996,4,24,Titan IV(401)A,Mercury
1449,1449,VKS RF,StatusRetired,,Success,Site 132/1,Plesetsk Cosmodrome,,Russia,1996,4,24,Cosmos-3M (11K65M),Cosmos 2265
1450,1450,Boeing,StatusRetired,,Success,SLC-2W,Vandenberg AFB,California,USA,1996,4,24,Delta II 7920-10,MSX
1451,1451,Arianespace,StatusRetired,,Success,ELA-2,Guiana Space Centre,French Guiana,France,1996,4,20,Ariane 42P,M-SAT-1
1452,1452,ILS,StatusRetired,,Success,SLC-36A,Cape Canaveral AFS,Florida,USA,1996,4,3,Atlas IIA,Inmarsat 3-F1
1453,1453,Boeing,StatusRetired,,Success,SLC-17B,Cape Canaveral AFS,Florida,USA,1996,3,28,Delta II 7925,USA-117 (GPS IIA-16)
1454,1454,NASA,StatusRetired,450.0,Success,LC-39B,Kennedy Space Center,Florida,USA,1996,3,22,Space Shuttle Atlantis,STS-76
1455,1455,ISRO,StatusRetired,25.0,Success,First Launch Pad,Satish Dhawan Space Centre,,India,1996,3,21,PSLV-G,IRS-P3
1456,1456,Arianespace,StatusRetired,,Success,ELA-2,Guiana Space Centre,French Guiana,France,1996,3,14,Ariane 44LP,Intelsat 707
1457,1457,Northrop,StatusActive,40.0,Success,Stargazer,Vandenberg AFB,California,USA,1996,3,9,Pegasus XL,REX II
1458,1458,Boeing,StatusRetired,,Success,SLC-2W,Vandenberg AFB,California,USA,1996,2,24,Delta II 7925-10,Polar
1459,1459,NASA,StatusRetired,450.0,Success,LC-39B,Kennedy Space Center,Florida,USA,1996,2,22,Space Shuttle Columbia,STS-75
1460,1460,VKS RF,StatusRetired,,Success,Site 32/1,Plesetsk Cosmodrome,,Russia,1996,2,19,Tsyklon-3,Cosmos 2328 to 2330 & Gonets 1 to 3
1461,1461,Boeing,StatusRetired,,Success,SLC-17B,Cape Canaveral AFS,Florida,USA,1996,2,17,Delta II 7925-8,NEAR
1462,1462,CASC,StatusActive,,Failure,LC-2,Xichang Satellite Launch Center,,China,1996,2,14,Long March 3B,Intelsat 708
1463,1463,Arianespace,StatusRetired,,Success,ELA-2,Guiana Space Centre,French Guiana,France,1996,2,5,Ariane 44P,N-Star B
1464,1464,ILS,StatusRetired,,Success,SLC-36B,Cape Canaveral AFS,Florida,USA,1996,2,1,Atlas IIAS,Palapa C1
1465,1465,VKS RF,StatusRetired,,Success,Site 132/1,Plesetsk Cosmodrome,,Russia,1996,1,16,Cosmos-3M (11K65M),Cosmos 2327
1466,1466,Boeing,StatusRetired,,Success,SLC-17B,Cape Canaveral AFS,Florida,USA,1996,1,14,Delta II 7925,Koreasat-2
1467,1467,Arianespace,StatusRetired,,Success,ELA-2,Guiana Space Centre,French Guiana,France,1996,1,12,Ariane 44L,"Panamsat-3R, Measat-1"
1468,1468,NASA,StatusRetired,450.0,Success,LC-39B,Kennedy Space Center,Florida,USA,1996,1,11,Space Shuttle Endeavour,STS-72
1469,1469,Boeing,StatusRetired,,Success,SLC-17A,Cape Canaveral AFS,Florida,USA,1995,12,30,Delta II 7920-10,XTE
